ULCS_NO,SCHOOL_YEAR,SCH_TEACHER_ATTEND,SDP_TEACHER_ATTEND,SCHOOL_ID
"8350","2013-2014",92.7,93.4,"835"
"7320","2013-2014",95,93.4,"732"
"5440","2013-2014",96,93.4,"544"
"8320","2013-2014",95.1,93.4,"832"
"6440","2013-2014",96.6,93.4,"644"
"4370","2013-2014",93.8,93.4,"437"
"4030","2013-2014",94.3,93.4,"403"
"2240","2013-2014",94,93.4,"224"
"6450","2013-2014",95.3,93.4,"645"
"5400","2013-2014",92.2,93.4,"540"
"5600","2013-2014",90.8,93.4,"560"
"7270","2013-2014",94.3,93.4,"727"
"1200","2013-2014",93.6,93.4,"120"
"6320","2013-2014",95,93.4,"632"
"2210","2013-2014",92.8,93.4,"221"
"4350","2013-2014",85.3,93.4,"435"
"4570","2013-2014",86.4,93.4,"457"
"6460","2013-2014",95.9,93.4,"646"
"5520","2013-2014",93,93.4,"552"
"8090","2013-2014",94.8,93.4,"809"
"4380","2013-2014",90.1,93.4,"438"
"5150","2013-2014",95,93.4,"515"
"7110","2013-2014",93.4,93.4,"711"
"8210","2013-2014",94.4,93.4,"821"
"7730","2013-2014",91.8,93.4,"773"
"7200","2013-2014",94.6,93.4,"720"
"1400","2013-2014",95.4,93.4,"140"
"1460","2013-2014",92.3,93.4,"146"
"5020","2013-2014",95.8,93.4,"502"
"5090","2013-2014",94,93.4,"509"
"5560","2013-2014",95.1,93.4,"556"
"6050","2013-2014",94.7,93.4,"605"
"1340","2013-2014",88.4,93.4,"134"
"7280","2013-2014",93.7,93.4,"728"
"5160","2013-2014",94.6,93.4,"516"
"8440","2013-2014",95.5,93.4,"844"
"8430","2013-2014",94.8,93.4,"843"
"5080","2013-2014",95.3,93.4,"508"
"4480","2013-2014",94,93.4,"448"
"6300","2013-2014",95.3,93.4,"630"
"7350","2013-2014",89.9,93.4,"735"
"6230","2013-2014",93.2,93.4,"623"
"8400","2013-2014",91.7,93.4,"840"
"7220","2013-2014",89,93.4,"722"
"8360","2013-2014",93.1,93.4,"836"
"2720","2013-2014",92.7,93.4,"272"
"2380","2013-2014",94.2,93.4,"238"
"5340","2013-2014",97.2,93.4,"534"
"5230","2013-2014",93.6,93.4,"523"
"1380","2013-2014",92.4,93.4,"138"
"7360","2013-2014",92.6,93.4,"736"
"5170","2013-2014",92.7,93.4,"517"
"4020","2013-2014",92,93.4,"402"
"2010","2013-2014",94.4,93.4,"201"
"6380","2013-2014",94.3,93.4,"638"
"1470","2013-2014",93.6,93.4,"147"
"7530","2013-2014",92.4,93.4,"753"
"2640","2013-2014",95.1,93.4,"264"
"8010","2013-2014",93.4,93.4,"801"
"1390","2013-2014",95.6,93.4,"139"
"2480","2013-2014",87.8,93.4,"248"
"2630","2013-2014",94.7,93.4,"263"
"6470","2013-2014",93.5,93.4,"647"
"2140","2013-2014",95.7,93.4,"214"
"8410","2013-2014",90.9,93.4,"841"
"4470","2013-2014",94.4,93.4,"447"
"8370","2013-2014",95.7,93.4,"837"
"4560","2013-2014",90.2,93.4,"456"
"5350","2013-2014",95.7,93.4,"535"
"7370","2013-2014",95.2,93.4,"737"
"6350","2013-2014",93.3,93.4,"635"
"5490","2013-2014",93.5,93.4,"549"
"6360","2013-2014",89,93.4,"636"
"2510","2013-2014",95,93.4,"251"
"8240","2013-2014",89.7,93.4,"824"
"2580","2013-2014",93.9,93.4,"258"
"8270","2013-2014",93.2,93.4,"827"
"7390","2013-2014",93.5,93.4,"739"
"7300","2013-2014",92.1,93.4,"730"
"7440","2013-2014",93,93.4,"744"
"8020","2013-2014",94.8,93.4,"802"
"5680","2013-2014",95.1,93.4,"568"
"8120","2013-2014",94.8,93.4,"812"
"6100","2013-2014",90.8,93.4,"610"
"2690","2013-2014",95.7,93.4,"269"
"5070","2013-2014",93.3,93.4,"507"
"5590","2013-2014",92.8,93.4,"559"
"5430","2013-2014",89.6,93.4,"543"
"6270","2013-2014",95.4,93.4,"627"
"4270","2013-2014",91.5,93.4,"427"
"8340","2013-2014",94.1,93.4,"834"
"7460","2013-2014",93.3,93.4,"746"
"2390","2013-2014",93.7,93.4,"239"
"6010","2013-2014",96.8,93.4,"601"
"2340","2013-2014",95.3,93.4,"234"
"7380","2013-2014",94.1,93.4,"738"
"6390","2013-2014",93.9,93.4,"639"
"6260","2013-2014",88,93.4,"626"
"5510","2013-2014",94.6,93.4,"551"
"4060","2013-2014",95.1,93.4,"406"
"6340","2013-2014",86.9,93.4,"634"
"1580","2013-2014",95.5,93.4,"158"
"4100","2013-2014",95,93.4,"410"
"6040","2013-2014",97.6,93.4,"604"
"7130","2013-2014",95.8,93.4,"713"
"6480","2013-2014",93.8,93.4,"648"
"8420","2013-2014",94.4,93.4,"842"
"7490","2013-2014",96,93.4,"749"
"2590","2013-2014",95.8,93.4,"259"
"7290","2013-2014",89.7,93.4,"729"
"8030","2013-2014",94.3,93.4,"803"
"6060","2013-2014",92.7,93.4,"606"
"5320","2013-2014",93.1,93.4,"532"
"5250","2013-2014",95.1,93.4,"525"
"2190","2013-2014",94.5,93.4,"219"
"5390","2013-2014",95.4,93.4,"539"
"1420","2013-2014",94.4,93.4,"142"
"8160","2013-2014",94.4,93.4,"816"
"1410","2013-2014",90.8,93.4,"141"
"8200","2013-2014",94.5,93.4,"820"
"7330","2013-2014",93.3,93.4,"733"
"7500","2013-2014",90.6,93.4,"750"
"2520","2013-2014",93.5,93.4,"252"
"8040","2013-2014",94.4,93.4,"804"
"7010","2013-2014",91.9,93.4,"701"
"4220","2013-2014",90.7,93.4,"422"
"5060","2013-2014",91.6,93.4,"506"
"2370","2013-2014",92.1,93.4,"237"
"1370","2013-2014",94.7,93.4,"137"
"1230","2013-2014",95.4,93.4,"123"
"5370","2013-2014",86.5,93.4,"537"
"8310","2013-2014",94.8,93.4,"831"
"6410","2013-2014",94.5,93.4,"641"
"1290","2013-2014",90.1,93.4,"129"
"6210","2013-2014",96.1,93.4,"621"
"4320","2013-2014",93.1,93.4,"432"
"8300","2013-2014",95.8,93.4,"830"
"7310","2013-2014",92,93.4,"731"
"5470","2013-2014",94.1,93.4,"547"
"7400","2013-2014",91.7,93.4,"740"
"8260","2013-2014",94,93.4,"826"
"4280","2013-2014",92.4,93.4,"428"
"8180","2013-2014",95.6,93.4,"818"
"4530","2013-2014",91.2,93.4,"453"
"1440","2013-2014",92.1,93.4,"144"
"2020","2013-2014",92.8,93.4,"202"
"2320","2013-2014",93.8,93.4,"232"
"1350","2013-2014",93.7,93.4,"135"
"1330","2013-2014",88.8,93.4,"133"
"6250","2013-2014",96.1,93.4,"625"
"6540","2013-2014",94.4,93.4,"654"
"6030","2013-2014",90.6,93.4,"603"
"8230","2013-2014",95.3,93.4,"823"
"1260","2013-2014",95.3,93.4,"126"
"1010","2013-2014",90.9,93.4,"101"
"8250","2013-2014",94,93.4,"825"
"2540","2013-2014",94.1,93.4,"254"
"5550","2013-2014",95.6,93.4,"555"
"8380","2013-2014",93.9,93.4,"838"
"2490","2013-2014",91.9,93.4,"249"
"5500","2013-2014",91.5,93.4,"550"
"5300","2013-2014",93.2,93.4,"530"
"1360","2013-2014",94.2,93.4,"136"
"1030","2013-2014",93,93.4,"103"
"1490","2013-2014",91.2,93.4,"149"
"8390","2013-2014",91.8,93.4,"839"
"6310","2013-2014",95.9,93.4,"631"
"2450","2013-2014",92.1,93.4,"245"
"5330","2013-2014",93.8,93.4,"533"
"1250","2013-2014",92.6,93.4,"125"
"4460","2013-2014",90,93.4,"446"
"1100","2013-2014",94.1,93.4,"110"
"2650","2013-2014",96.5,93.4,"265"
"4140","2013-2014",91.1,93.4,"414"
"7510","2013-2014",89.8,93.4,"751"
"4440","2013-2014",93.6,93.4,"444"
"5420","2013-2014",94.3,93.4,"542"
"8560","2013-2014",97.6,93.4,"856"
"7100","2013-2014",93,93.4,"710"
"1190","2013-2014",98.1,93.4,"119"
"7260","2013-2014",91.4,93.4,"726"
"5530","2013-2014",93.4,93.4,"553"
"1020","2013-2014",94.5,93.4,"102"
"8140","2013-2014",94.1,93.4,"814"
"5410","2013-2014",94.1,93.4,"541"
"4240","2013-2014",88.7,93.4,"424"
"7470","2013-2014",94,93.4,"747"
"2470","2013-2014",93.4,93.4,"247"
"2000","2013-2014",94.2,93.4,"200"
"2290","2013-2014",94.6,93.4,"229"
"5200","2013-2014",96.2,93.4,"520"
"5050","2013-2014",91.4,93.4,"505"
"5260","2013-2014",92,93.4,"526"
"1280","2013-2014",96.5,93.4,"128"
"7120","2013-2014",92,93.4,"712"
"7150","2013-2014",95.1,93.4,"715"
"6430","2013-2014",94.7,93.4,"643"
"6200","2013-2014",96.6,93.4,"620"
"2670","2013-2014",96.8,93.4,"267"
"7430","2013-2014",91.7,93.4,"743"
"6220","2013-2014",96.1,93.4,"622"
"2160","2013-2014",95.9,93.4,"216"
"2260","2013-2014",93,93.4,"226"
"5210","2013-2014",91.5,93.4,"521"
"2620","2013-2014",94.4,93.4,"262"
"2410","2013-2014",93.2,93.4,"241"
"1130","2013-2014",88.5,93.4,"113"
"5480","2013-2014",92,93.4,"548"
"1300","2013-2014",91.4,93.4,"130"
"6090","2013-2014",95.3,93.4,"609"
"1050","2013-2014",94.7,93.4,"105"
"4300","2013-2014",94.7,93.4,"430"
