SCHNAM,LSTREE,LCITY,LSTATE,LZIP
FELTONVILLE SCH OF ARTS & SCIENCES,210 EAST COURTLAND ST,PHILADELPHIA,PA,19120
CAYUGA SCHOOL,43444358 NORTH 5TH ST,PHILADELPHIA,PA,19140
OVERBROOK ELEMENTARY SCHOOL,2032 NORTH 62ND ST,PHILADELPHIA,PA,19151
MARSHALL THURGOOD,5120 NORTH 6TH ST,PHILADELPHIA,PA,19120
MUNOZ-MARIN LUIS,3300 NORTH 3RD ST,PHILADELPHIA,PA,19140
WASHINGTON GROVER JR SCH,201 EAST OLNEY AVE,PHILADELPHIA,PA,19120
GAMP,23RD AND RITNER STS,PHILADELPHIA,PA,19145
PENN ALEXANDER SCH,4209 SPRUCE ST,PHILADELPHIA,PA,19104
PAUL ROBESON HS FOR HUMAN SERVICES,4125 LUDLOW ST,PHILADELPHIA,PA,19104
PARKWAY-CENTER CITY,540 NORTH 13TH ST,PHILADELPHIA,PA,19123
PARKWAY WEST,4725 FAIRMONT AVE,PHILADELPHIA,PA,19139
LANKENAU HS,201 SPRING LN,PHILADELPHIA,PA,19128
MOTIVATION HS,5900 BALTIMORE AVE,PHILADELPHIA,PA,19143
PHILADELPHIA MILITARY ACAD AT ELVERSON,21182160 NORTH 13TH ST,PHILADELPHIA,PA,19122
KENSINGTON INTERN BUSINESS  FINANCE & EN,2051 EAST CUMBEERLAND ST,PHILADELPHIA,PA,19125
KENSINGTON CREATIVE & PERFORMING ARTS HS,1901 NORTH FRONT ST,PHILADELPHIA,PA,19122
KENSINGTON HEALTH SCIENCES,2463 EMERALD ST,PHILADELPHIA,PA,19125
SCIENCE LEADERSHIP ACADEMY,2130 ARCH ST,PHILADELPHIA,PA,19103
ACADEMY AT PALUMBO,1100 CATHARINE ST,PHILADELPHIA,PA,19147
SCHOOL OF THE FUTURE,4021 PARKSIDE AVE,PHILADELPHIA,PA,19104
CONSTITUTION HS,18 SOUTH 7TH ST,PHILADELPHIA,PA,19106
BRYANT WILLIAM C SCH,6001 CEDAR AVE,PHILADELPHIA,PA,19143
CATHARINE JOSEPH SCH,6600 CHESTER AVE,PHILADELPHIA,PA,19142
MCMICHAEL MORTON SCH,3543 FAIRMOUNT AVE,PHILADELPHIA,PA,19104
PATTERSON JOHN M SCH,7000 BUIST AVE,PHILADELPHIA,PA,19142
RHOADS JAMES SCH,4901 PARRISH ST,PHILADELPHIA,PA,19139
WASHINGTON MARTHA SCH,766 NORTH 44TH ST,PHILADELPHIA,PA,19104
PENROSE SCH,2515 SOUTH 78TH ST,PHILADELPHIA,PA,19153
BACHE-MARTIN SCH,2201 BROWN ST,PHILADELPHIA,PA,19130
BREGY F AMEDEE SCH,1700 BIGLER ST,PHILADELPHIA,PA,19145
CHILDS GEORGE W SCH,1599 WHARTON ST,PHILADELPHIA,PA,19146
GIDEON EDWARD SCH,2817 WEST GLENWOOD AVE,PHILADELPHIA,PA,19121
KELLEY WILLIAM D SCH,1601 NORTH 28TH ST,PHILADELPHIA,PA,19121
MCDANIEL DELAPLAINE SCH,1801 SOUTH 22ND ST,PHILADELPHIA,PA,19145
MEADE GEN GEORGE C SCH,1600 NORTH 18TH ST,PHILADELPHIA,PA,19121
STANTON EDWIN M SCH,1700 CHRISTIAN ST,PHILADELPHIA,PA,19146
WARING LAURA W SCH,1801 GREEN ST,PHILADELPHIA,PA,19130
FELL D NEWLIN SCH,900 WEST OREGON AVE,PHILADELPHIA,PA,19148
JACKSON ANDREW SCH,1213 SOUTH 12TH ST,PHILADELPHIA,PA,19147
JENKS ABRAM SCH,2501 SOUTH 13TH ST,PHILADELPHIA,PA,19148
KEARNY GEN PHILIP SCH,601 FAIRMOUNT AVE,PHILADELPHIA,PA,19123
KEY FRANCIS SCOTT SCH,2230 SOUTH 8TH ST,PHILADELPHIA,PA,19148
KIRKBRIDE ELIZA B SCH,1501 SOUTH 7TH ST,PHILADELPHIA,PA,19147
MCCALL GEN GEORGE A SCH,325 SOUTH 7TH ST,PHILADELPHIA,PA,19106
MEREDITH WILLIAM M SCH,725 SOUTH 5TH ST,PHILADELPHIA,PA,19147
NEBINGER GEORGE W SCH,601 CARPENTER ST,PHILADELPHIA,PA,19147
SHARSWOOD GEORGE SCH,2300 SOUTH 2ND ST,PHILADELPHIA,PA,19148
SOUTHWARK SCH,1835 SOUTH 9TH ST,PHILADELPHIA,PA,19148
SPRING GARDEN SCH,685 NORTH 12TH ST,PHILADELPHIA,PA,19123
TAGGART JOHN H SCH,400 WEST PORTER ST,PHILADELPHIA,PA,19148
BLAINE JAMES G SCH,3001 WEST BERKS ST,PHILADELPHIA,PA,19121
BLANKENBURG RUDOLPH SCH,4600 WEST GIRARD AVE,PHILADELPHIA,PA,19131
CASSIDY LEWIS C AC PLUS SCH,6523 LANSDOWNE AVE,PHILADELPHIA,PA,19151
GOMPERS SAMUEL SCH,5701 WYNNEFIELD AVE,PHILADELPHIA,PA,19131
LAMBERTON ROBERT E SCH,7501 WOODBINE AVE,PHILADELPHIA,PA,19151
PEIRCE THOMAS M SCH,2300 WEST CAMBRIA ST,PHILADELPHIA,PA,19132
BROWN HENRY A SCH,1946 EAST SERGEANT ST,PHILADELPHIA,PA,19125
DUNBAR PAUL L SCH,1750 NORTH 12TH ST,PHILADELPHIA,PA,19122
ELKIN LEWIS SCH,3199 D ST,PHILADELPHIA,PA,19134
HUNTER WILLIAM H SCH,2400 NORTH FRONT ST,PHILADELPHIA,PA,19133
LUDLOW JAMES R SCH,550 WEST MASTER ST,PHILADELPHIA,PA,19122
MOFFET JOHN SCH,127 WEST OXFORD ST,PHILADELPHIA,PA,19122
RICHMOND SCH,2944 BELGRADE ST,PHILADELPHIA,PA,19134
SHEPPARD ISAAC SCH,120 WEST CAMBRIA ST,PHILADELPHIA,PA,19133
WELSH JOHN SCH,2331 NORTH 4TH ST,PHILADELPHIA,PA,19133
DAY ANNA B SCH,632442 CRITTENDEN ST,PHILADELPHIA,PA,19138
EDMONDS FRANKLIN S SCH,8025 THOURON AVE,PHILADELPHIA,PA,19150
EMLEN ELEANOR C SCH,6501 CHEW AVE,PHILADELPHIA,PA,19119
HILL J E/FREEDMAN SAMSON,6200 CRITTENDEN ST,PHILADELPHIA,PA,19138
HENRY CHARLES W SCH,601 CARPENTER LN,PHILADELPHIA,PA,19119
HOUSTON HENRY E SCH,7300 RURAL LN,PHILADELPHIA,PA,19119
JENKS JOHN S SCH,8301 GERMANTOWN AVE,PHILADELPHIA,PA,19118
LINGELBACH ANNA L SCH,6340 WAYNE AVE,PHILADELPHIA,PA,19144
LOGAN JAMES SCH,1700 LINDLEY AVE,PHILADELPHIA,PA,19141
MCCLOSKEY JOHN F SCH,8500 PICKERING ST,PHILADELPHIA,PA,19150
MIFFLIN THOMAS SCH,3624 CONRAD ST,PHILADELPHIA,PA,19129
PENNELL JOSEPH SCH,1800 NEDRO AVE,PHILADELPHIA,PA,19141
ROWEN WILLIAM SCH,6841 NORTH 19TH ST,PHILADELPHIA,PA,19126
SHAWMONT SCH,535 SHAWMONT AVE,PHILADELPHIA,PA,19128
DOBSON JAMES SCH,4667 UMBRIA ST,PHILADELPHIA,PA,19127
STEEL EDWARD SCH,4301 WAYNE AVE,PHILADELPHIA,PA,19140
WISTER JOHN SCH,67 EAST BRINGHURST ST,PHILADELPHIA,PA,19144
BARTON CLARA SCH,4600 ROSEHILL ST,PHILADELPHIA,PA,19120
CARNELL LAURA H SCH,1100 DEVEREAUX ST,PHILADELPHIA,PA,19111
ELLWOOD SCH,6701 NORTH 13TH ST,PHILADELPHIA,PA,19126
FINLETTER THOMAS K SCH,6100 NORTH FRONT ST,PHILADELPHIA,PA,19120
HOPKINSON FRANCIS SCH,4001 L ST,PHILADELPHIA,PA,19124
HOWE JULIA WARD SCH,5800 NORTH 13TH ST,PHILADELPHIA,PA,19141
LAWTON HENRY W SCH,6101 JACKSON ST,PHILADELPHIA,PA,19135
BRIDESBURG SCH,2824 JENKS ST,PHILADELPHIA,PA,19137
LOWELL JAMES R SCH,450 WEST NEDRO AVE,PHILADELPHIA,PA,19120
MORRISON ANDREW J SCH,5100 NORTH 3RD ST,PHILADELPHIA,PA,19120
OLNEY EL SCH,5301 NORTH WATER ST,PHILADELPHIA,PA,19120
FELTONVILLE INTERMEDIATE SCHOOL,238 EAST WYOMING AVE,PHILADELPHIA,PA,19120
SULLIVAN JAMES J SCH,5300 DITMAN ST,PHILADELPHIA,PA,19124
ZIEGLER WILLIAM H SCH,5935 SAUL ST,PHILADELPHIA,PA,19149
TAYLOR BAYARD SCH,3698 NORTH RANDOLPH ST,PHILADELPHIA,PA,19140
ALLEN ETHAN SCH,6329 BATTERSBY ST,PHILADELPHIA,PA,19149
COMLY WATSON SCH,1001 BYBERRY RD,PHILADELPHIA,PA,19116
CROSSAN KENNEDY C SCH,7350 BINGHAM ST,PHILADELPHIA,PA,19111
